DATE,TWEXBMTH
1973-01-01,33.9689
1973-02-01,32.5799
1973-03-01,31.5849
1973-04-01,31.7681
1973-05-01,31.5727
1973-06-01,31.0864
1973-07-01,30.6380
1973-08-01,30.9817
1973-09-01,31.0687
1973-10-01,30.9637
1973-11-01,31.9322
1973-12-01,32.3099
1974-01-01,33.2966
1974-02-01,32.7832
1974-03-01,32.2859
1974-04-01,31.9676
1974-05-01,31.7863
1974-06-01,32.1004
1974-07-01,32.3673
1974-08-01,32.8170
1974-09-01,32.98
1974-10-01,32.9278
1974-11-01,32.8329
1974-12-01,32.8350
1975-01-01,32.6697
1975-02-01,32.3875
1975-03-01,32.2864
1975-04-01,32.7536
1975-05-01,32.8936
1975-06-01,33.0442
1975-07-01,33.8632
1975-08-01,34.4933
1975-09-01,34.8020
1975-10-01,34.8849
1975-11-01,34.8980
1975-12-01,35.1408
1976-01-01,35.0989
1976-02-01,35.0785
1976-03-01,35.3543
1976-04-01,35.5790
1976-05-01,35.6959
1976-06-01,35.8105
1976-07-01,35.6818
1976-08-01,35.6569
1976-09-01,36.0674
1976-10-01,36.3137
1976-11-01,36.7548
1976-12-01,36.8179
1977-01-01,36.7763
1977-02-01,36.9765
1977-03-01,37.0694
1977-04-01,36.97
1977-05-01,37.0205
1977-06-01,37.0311
1977-07-01,36.7710
1977-08-01,37.0361
1977-09-01,37.1626
1977-10-01,36.8890
1977-11-01,36.6512
1977-12-01,36.1587
1978-01-01,35.9432
1978-02-01,35.9357
1978-03-01,35.7324
1978-04-01,35.6907
1978-05-01,35.9918
1978-06-01,35.5401
1978-07-01,34.8406
1978-08-01,34.2486
1978-09-01,34.3306
1978-10-01,33.7305
1978-11-01,34.4819
1978-12-01,34.6557
1979-01-01,34.6560
1979-02-01,34.8596
1979-03-01,34.9715
1979-04-01,35.3069
1979-05-01,35.5728
1979-06-01,35.5731
1979-07-01,35.0481
1979-08-01,35.2184
1979-09-01,35.2723
1979-10-01,35.7240
1979-11-01,36.2129
1979-12-01,35.8850
1980-01-01,35.86
1980-02-01,36.2089
1980-03-01,37.1465
1980-04-01,37.4326
1980-05-01,36.2590
1980-06-01,35.6922
1980-07-01,35.7021
1980-08-01,36.1026
1980-09-01,35.8811
1980-10-01,36.0536
1980-11-01,36.7653
1980-12-01,37.1358
1981-01-01,37.0637
1981-02-01,38.05
1981-03-01,38.2959
1981-04-01,39.0399
1981-05-01,40.1449
1981-06-01,40.9463
1981-07-01,41.8342
1981-08-01,42.5119
1981-09-01,41.8378
1981-10-01,41.7382
1981-11-01,41.2352
1981-12-01,41.4273
1982-01-01,42.1104
1982-02-01,43.5598
1982-03-01,44.8249
1982-04-01,45.2875
1982-05-01,44.8653
1982-06-01,46.8101
1982-07-01,47.5219
1982-08-01,48.6651
1982-09-01,49.1017
1982-10-01,49.8821
1982-11-01,50.0780
1982-12-01,49.2939
1983-01-01,49.2986
1983-02-01,50.1162
1983-03-01,50.7947
1983-04-01,51.5031
1983-05-01,51.6810
1983-06-01,52.7268
1983-07-01,53.2555
1983-08-01,54.25
1983-09-01,54.5880
1983-10-01,54.3601
1983-11-01,55.1389
1983-12-01,55.9662
1984-01-01,56.6598
1984-02-01,56.4816
1984-03-01,56.2779
1984-04-01,57.0130
1984-05-01,58.3156
1984-06-01,59.0032
1984-07-01,60.7986
1984-08-01,61.1534
1984-09-01,62.8506
1984-10-01,63.8490
1984-11-01,63.7735
1984-12-01,65.1475
1985-01-01,66.5187
1985-02-01,68.5337
1985-03-01,69.2367
1985-04-01,67.8008
1985-05-01,68.3559
1985-06-01,68.2042
1985-07-01,67.0258
1985-08-01,67.0263
1985-09-01,67.7718
1985-10-01,65.4388
1985-11-01,64.9168
1985-12-01,65.0381
1986-01-01,64.9783
1986-02-01,63.5747
1986-03-01,62.9331
1986-04-01,62.7122
1986-05-01,61.8118
1986-06-01,62.3251
1986-07-01,61.4561
1986-08-01,60.9089
1986-09-01,61.1942
1986-10-01,61.4934
1986-11-01,62.3702
1986-12-01,62.4267
1987-01-01,60.8462
1987-02-01,60.5291
1987-03-01,60.4773
1987-04-01,59.7043
1987-05-01,59.6325
1987-06-01,60.5782
1987-07-01,61.6028
1987-08-01,61.6380
1987-09-01,60.9387
1987-10-01,61.0368
1987-11-01,59.4714
1987-12-01,58.6431
1988-01-01,59.1040
1988-02-01,59.7802
1988-03-01,59.2901
1988-04-01,59.0075
1988-05-01,59.4392
1988-06-01,60.5403
1988-07-01,62.1886
1988-08-01,63.0768
1988-09-01,63.3727
1988-10-01,62.3440
1988-11-01,61.3602
1988-12-01,61.5591
1989-01-01,62.9025
1989-02-01,63.2856
1989-03-01,64.3096
1989-04-01,64.8369
1989-05-01,66.43
1989-06-01,68.0355
1989-07-01,67.3819
1989-08-01,68.2819
1989-09-01,69.4326
1989-10-01,68.9528
1989-11-01,69.3945
1989-12-01,69.6101
1990-01-01,70.1345
1990-02-01,71.1232
1990-03-01,72.9546
1990-04-01,73.3941
1990-05-01,72.9620
1990-06-01,73.2249
1990-07-01,72.0906
1990-08-01,71.0147
1990-09-01,70.5077
1990-10-01,69.3448
1990-11-01,69.4716
1990-12-01,70.6934
1991-01-01,71.0738
1991-02-01,70.7005
1991-03-01,73.3824
1991-04-01,74.5544
1991-05-01,75.0827
1991-06-01,76.2585
1991-07-01,76.4080
1991-08-01,75.8928
1991-09-01,75.1196
1991-10-01,75.1015
1991-11-01,74.4726
1991-12-01,74.1260
1992-01-01,74.4082
1992-02-01,75.6435
1992-03-01,77.3368
1992-04-01,77.4242
1992-05-01,77.0866
1992-06-01,76.2443
1992-07-01,75.3025
1992-08-01,75.1183
1992-09-01,75.8731
1992-10-01,77.5271
1992-11-01,80.1583
1992-12-01,80.8499
1993-01-01,82.0023
1993-02-01,82.5443
1993-03-01,82.4072
1993-04-01,81.5063
1993-05-01,81.8694
1993-06-01,82.7197
1993-07-01,84.0634
1993-08-01,84.2420
1993-09-01,84.4005
1993-10-01,85.4585
1993-11-01,86.6715
1993-12-01,87.5180
1994-01-01,90.3880
1994-02-01,90.4705
1994-03-01,90.9911
1994-04-01,91.6541
1994-05-01,91.7219
1994-06-01,92.0166
1994-07-01,90.8465
1994-08-01,90.84
1994-09-01,90.0052
1994-10-01,89.5426
1994-11-01,89.9678
1994-12-01,92.0418
1995-01-01,94.0871
1995-02-01,93.6275
